,№ п/п,KKS-код параметра,Наименование параметра,Наименование сигнала,Вид сигнала,min,max,Ед. изм.,Участие в задачах,Примечание
0,1,F0GAF03AA801,Температура исходной воды,,"4-20мА, линейный",0,100,°C,,
1,2,F0GAF03AA801,Давление исходной воды,,"4-20мА, линейный",0,3,кгс/см²,,
2,3,F0CUB01GU001,Давление исходной воды до сетчатого фильтра,,"4-20мА, линейный",0,3,кгс/см²,,
3,4,F0CUB01GU001,Давление исходной воды после сетчатого фильтра,,"4-20мА, линейный",0,3,кгс/см²,,
4,5,F0GAF01CP001,Давление сырой воды на всасе НСВ-1 (К5.1),,,,,,,
5,6,F0GAF01CP002,Давление сырой воды на напоре НСВ-1 (К5.1),,,,,,,
6,7,F0GAF02CP001,Давление сырой воды на всасе НСВ-2 (К5.2),,,,,,,
7,8,F0GAF02CP002,Давление сырой воды на напоре НСВ-2 (К5.2),,,,,,,
8,9,F0GBJ01AA801,Давление исходной воды в трубопроводе байпаса насосов НСВ,,"4-20мА, линейный",0,3,кгс/см²,,
9,10,F0GBJ01AA801,Давление исходной воды после насосов НСВ,,"4-20мА, линейный",0,8,кгс/см²,,
10,11,F0GAF03CG801,Положение ИМ регулирующего клапана на трубопроводе байпаса насосов НСВ РТ-1,,,,,,"АР,ДУ",
11,12,F0GAD12AA801,Температура подшипника №1 К5.1,,,,,,,
12,13,F0GAD16AA801,Температура подшипника №2 К5.1,,,,,,,
13,14,F0GAD16AA801,Ток электродвигателя К5.1,,"4-20мА, линейный",0,250,А,,
14,15,F0GAD17AA801,Температура подшипника №1 К5.2,,,,,,,
15,16,F0GAD17AA801,Температура подшипника №2 К5.2,,,,,,,
16,17,F0CUB02GU001,Ток электродвигателя К5.2,,"4-20мА, линейный",0,250,А,,
17,18,F0CUB02GU001,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
18,19,F0GDH11AA001,Температура воды аварийной подпитки,,"4-20мА, линейный",0,100,°C,,
19,20,F0GDH11AA001,Давление воды аварийной подпитки,,"4-20мА, линейный",0,8,кгс/см²,,
20,21,F0GDH11AA001,Расход воды аварийной подпитки,,"4-20мА, линейный",0,450,т/ч,,
21,22,F0GAC01CG801,Положение ИМ регулятора производительности ХВО РД-3,,,,,,"АР,ДУ",
22,23,F0GAC01CG802,Положение ИМ регулятора температуры сырой воды РТ-4,,,,,,"АР,ДУ",
23,24,F0GHJ20AA801,Температура воды после подогревателя исходной воды К11,,,,,,,
24,25,F0GHJ20AA801,Положение ИМ регулятора температуры умягченной воды,,"4-20мА, линейный, токовый датчик",,,,"АР,ДУ",
25,26,F0GHJ20AA802,Температура умягченной воды после подогревателя К16,,,,,,,
26,27,F0GAD12CF001,Расход воды на бак-газоотделитель,,,,,,,
27,28,F0GAD13CT001,Температура в баке-газоотделителе,,,,,,,
28,29,F0CUB03GU001,Давление на всасе насоса рабочей воды К10.5.1,,"4-20мА, линейный",-1,1,кгс/см²,,
29,30,F0NDG11AA001,Давление на напоре насоса рабочей воды К10.5.1,,"4-20мА, линейный",0,6,кгс/см²,,
30,31,F0NDG11AA001,Давление на всасе насоса рабочей воды К10.5.2,,"4-20мА, линейный",-1,1,кгс/см²,,
31,32,F0NDG11AA001,Давление на напоре насоса рабочей воды К10.5.2,,"4-20мА, линейный",0,6,кгс/см²,,
32,33,F0GAD13CL001,Уровень в баке-газоотделителе,,,,,,,
33,34,F0NDG12AA001,Давление рабочей воды на эжектора,,"4-20мА, линейный",0,6,кгс/см²,,
34,35,F0NDG12AA001,Температура парогазовой смеси на входе в эжектора,,"4-20мА, линейный",0,100,°C,,
35,36,F0NDG11AA002,Температура подшипника №1 К10.5.1,,,,,,,
36,37,F0NDG11AA002,Температура подшипника №2 К10.5.1,,,,,,,
37,38,F0NDG11AA002,Ток электродвигателя К10.5.1,,"4-20мА, линейный",0,200,А,,
38,39,F0NDG12AA002,Температура подшипника №1 К10.5.2,,,,,,,
39,40,F0NDG12AA002,Температура подшипника №2 К10.5.2,,,,,,,
40,41,F0NDG12AA002,Ток электродвигателя К10.5.2,,"4-20мА, линейный",0,200,А,,
41,42,F0NDG01AA001,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
42,43,F0NDG01AA001,Температура выпара вакуумного деаэратора,,"4-20мА, линейный",0,100,°C,,
43,44,F0NDG01AA001,Давление в линии выпара вакуумного деаэратора,,"4-20мА, линейный",0,-0.9,кгс/см²,,
44,45,F0GDH11CT001,Температура деаэрированной воды на выходе из бака-аккумулятора вакуумного деаэратора,,,,,,,
45,46,F0GDH11CP001,Давление деаэрированной воды на выходе из бака-аккумулятора вакуумного деаэратора,,,,,,,
46,47,F0GDH11CL001,Уровень в баке-аккумуляторе вакуумного деаэратора,,,,,,резерв,
47,48,F0GDH11CL002,Уровень в баке-аккумуляторе вакуумного деаэратора,,,,,,,
48,49,F0NDG02AA001,Давление на всасе насоса подпитки теплосети К6.1,,"4-20мА, линейный",-1,1,кгс/см²,,
49,50,F0NDG02AA001,Давление на напоре насоса подпитки теплосети К6.1,,"4-20мА, линейный",0,6,кгс/см²,,
50,51,F0NDG02AA002,Давление на всасе насоса подпитки теплосети К6.2,,"4-20мА, линейный",-1,1,кгс/см²,,
51,52,F0NDG02AA002,Давление на напоре насоса подпитки теплосети К6.2,,"4-20мА, линейный",0,6,кгс/см²,,
52,53,F0NDG02AA002,Давление на всасе насоса подпитки теплосети К6.3,,"4-20мА, линейный",-1,1,кгс/см²,,
53,54,F0NDG03AA001,Давление на напоре насоса подпитки теплосети К6.3,,"4-20мА, линейный",0,6,кгс/см²,,
54,55,F0NDG03AA001,Расход подпитки теплосети от деаэратора,,"4-20мА, линейный",0,400,т/ч,,
55,56,F0NDG03AA001,Давление подпитки теплосети от деаэратора,,"4-20мА, линейный",0,6,кгс/см²,,
56,57,F0NDG03AA002,Температура подпитки теплосети от деаэратора,,"4-20мА, линейный",0,100,°C,,
57,58,F0NDG03AA002,Расход сырой воды к ХВО,,"4-20мА, линейный",0,400,т/ч,,
58,59,F0NDG03AA002,pH сырой воды после ХВО,,"4-20мА, линейный",,,,,
59,60,F0GHJ10CG801,Положение ИМ регулятора расхода сырой воды на охладитель выпара РД-2,,,,,,"АР,ДУ",
60,61,F0GHJ11CT001,Температура хим.очищенной воды перед ПХОВ-1,,,,,,,
61,62,F0GHJ11CP001,Давление хим.очищенной воды перед ПХОВ- 1,,,,,,,
62,63,F0GHJ11CT002,Температура хим.очищенной воды после ПХОВ-1,,,,,,,
63,64,F0GHJ11CP002,Давление хим.очищенной воды после ПХОВ- 1,,,,,,,
64,65,F0GHJ12CT001,Температура хим.очищенной воды перед ПХОВ-2,,,,,,,
65,66,F0GHJ12CP001,Давление хим.очищенной воды перед ПХОВ- 2,,,,,,,
66,67,F0GHJ12CT002,Температура хим.очищенной воды после ПХОВ-2,,,,,,,
67,68,F0GHJ12CP002,Давление хим.очищенной воды после ПХОВ- 2,,,,,,,
68,69,F0NDG10AA002,Расход хим.очищенной воды к ваккумному деаэратору подпитки т/с,,"4-20мА, линейный",0,400,т/ч,,
69,70,F0NDG10AA002,Температура хим.очищенной воды к ваккумному деаэратору подпитки т/с,,"4-20мА, линейный",0,200,°C,,
70,71,F0GHJ11CT003,Температура греющей воды на ПХОВ-1,,,,,,,
71,72,F0GHJ11CP003,Давление греющей воды на ПХОВ-1,,,,,,,
72,73,F0GHJ11CT004,Температура греющей воды после ПХОВ-1,,,,,,,
73,74,F0GHJ11CP004,Давление греющей воды после ПХОВ-1,,,,,,,
74,75,F0GHJ12CT003,Температура греющей воды на ПХОВ-2,,,,,,,
75,76,F0GHJ12CP003,Давление греющей воды на ПХОВ-2,,,,,,,
76,77,F0GHJ12CT004,Температура греющей воды после ПХОВ-2,,,,,,,
77,78,F0GHJ12CP004,Давление греющей воды после ПХОВ-2,,,,,,,
78,79,F0GHJ20CG802,Положение ИМ регулятора температуры ХОВ на вакуумный деаэратор РТ-59,,,,,,"АР,ДУ",
79,80,F0NDF10AA002,Температура подшипника №1 К6.1,,,,,,,
80,81,F0NDF10AA002,Температура подшипника №2 К6.1,,,,,,,
81,82,F1NDG10AA001,Ток электродвигателя К6.1,,"4-20мА, линейный",0,280,А,,
82,83,F1NDG10AA001,Температура подшипника №1 К6.2,,,,,,,
83,84,F1NDG10AA001,Температура подшипника №2 К6.2,,,,,,,
84,85,F1NDG10AA801,Ток электродвигателя К6.2,,"4-20мА, линейный",0,280,А,,
85,86,F1NDG10AA801,Температура подшипника №1 К6.3,,,,,,,
86,87,F1NDF10AA001,Температура подшипника №2 К6.3,,,,,,,
87,88,F1NDF10AA001,Ток электродвигателя К6.3,,"4-20мА, линейный",0,280,А,,
88,89,F1NDF10AA001,Выходная частота ЧРП,,"RS485, Modbus RTU",,,,,
89,90,F2NDG10AA001,Давление на всасе котлового насоса №1,,"4-20мА, линейный",-1,10,кгс/см²,,
90,91,F2NDG10AA001,Давление на напоре котлового насоса №1,,"4-20мА, линейный",0,16,кгс/см²,,
91,92,F2NDG10AA001,Температура подшипника №1,,,,,,,
92,93,F2NDG10AA801,Температура подшипника №2,,,,,,,
93,94,F2NDG10AA801,Температура подшипника №3,,,,,,,
94,95,F2NDF10AA001,Температура подшипника №4,,,,,,,
